laptop_title,asin,id,Performance,Build quality,Battery life,Display,Gaming,Graphics,Sound,Fans,Cooling system,Weight,Price
"LENOVO IDEAPAD GAMING 3 15 LAPTOP, 15.6"" FHD DISPLAY, AMD RYZEN 5 5600H, NVIDIA GEFORCE GTX 1650, 8GB RAM, 256GB STORAGE, WINDOWS 10H",b08ykhgktv,56,0.4437234,0.3457981,-0.2057451,0.2515577,0.5970977,0.6377227,-0.0352217,0.2425288,0.2594505,0.4802378,0.6207561
"ASUS ROG G751JY-VS71(WX) 17-INCH GAMING LAPTOP (INTEL CORE I7, 16GB RAM, NVIDIA GEFORCE GTX 980M, 1 TB HDD, WINDOWS 10)",b01dt4a2k6,57,0.3882222,0.2753582,-0.2202513,0.3596572,0.5532193,0.9544323,0.36647,0.770949,0.8490776,0.2753305,0.3386136
"MSI GV62 8RD-275 15.6"" PERFORMANCE GAMING LAPTOP NVIDIA GTX 1050TI 4G, INTEL CORE I5-8300H, 8GB, 256GB NVME SSD, RED BACKLIT KB, WIN 10 HOME, ALUMINUM BLACK",b07d4zml7m,58,-0.0030982,0.0840339,-0.5386191,-0.2308831,0.3475523,0.2857376,-0.4387353,0.0702479,0.046742,0.1126138,0.2553108
"HP PAVILION DV9334US 17"" NOTEBOOK LAPTOP PC (INTEL CORE 2 DUO T5300 1.73GHZ/2MB L2 CACHE, 2GB RAM, 160GB HDD/WIRELESS/CAMERA/ ATSC-NTSC TV TUNER W/REMOTE AND RECEIVER/ 512MB NVIDIA GEFORCE GO 7600/VISTA HOME PREMIUM)",b000ysy4ri,59,-0.4291194,-0.499946,-0.612389,-0.1959673,-0.985898,-0.9682768,-0.954632,-0.5462898,-0.5316598,0,-0.1632823
"ASUS ROG GL551 SERIES GL551JM-DH71 4TH GENERATION 15.6-INCH GAMING LAPTOP (INTEL CORE I7, 4710HQ 2.50 GHZ, 16 GB MEMORY, 1 TB HDD, NVIDIA GEFORCE GTX 860M 2 GB WINDOWS 8.1 64-BIT) BLACK/RED",b00t7xrh2a,60,0.3023309,0.2436575,-0.1785533,0.1551763,0.3898504,0.1590185,-0.1013235,0.3360413,0.3778088,0.283069,0.4699417
"ASUS ROG STRIX SCAR II GL704GW GAMING LAPTOP (INTEL I7-8750H, 16GB RAM, 512GB NVME SSD, NVIDIA RTX 2070 8GB, 17.3"" FULL HD IPS 144HZ 3MS, WINDOWS 10) GAMER NOTEBOOK COMPUTER, 17-30.99""",b07mm677q5,61,0.3992165,0.2654459,-0.0324782,0.3587971,0.590918,-0.033238,0.960382,0.3171773,0.044719,-0.163745,0.4454091
"ACER CHROMEBOOK13 CB5-311-T9B0 (13.3-INCH FULL HD, NVIDIA TEGRA K1, 2GB)",b00nc088ea,62,0.2903336,0.536442,0.5418695,0.3978565,0.0534807,0.2205997,0.4844269,0.4287504,0.5826672,0.6710809,0.6948586
"HP ENVY 2019,17.3"" FULL HD TOUCH, I7-10510U 10TH GEN QUAD CPU,NVIDIA MX250(4GB), 16GB DDR4 2666 RAM,WIN 10 PRO (512GB SSD + 32GB OPTANE) NO DVD RW",b07y32tnyc,63,0.6089926,0.2800013,-0.7793642,0.1181595,0.074254,0.59398,0.7136477,-0.2903563,-0.2887878,0.1983057,0.1902863
"ASUS 2019 ROG G531GT 15.6"" FHD GAMING LAPTOP- HEXA-CORE 4.5 GHZ INTEL I7-9750H, 16GB DDR4, NVIDIA GEFORCE GTX 1650 WITH 4GB GDDR5, 512GB PCIE SSD, RGB BACKLIT KB, HDMI, USB 3.0",b07thn4vb9,64,0.3458992,0.1829598,-0.7144834,0.0369384,0.3980074,0.4530257,-0.6407653,-0.0071725,0.3696563,0.5181566,0.7027859
"CYBERPOWERPC TRACER II T15300 15.6"" GAMING NOTEBOOK (INTEL I7-7700HQ 2.8GHZ, 8GB DDR4, NVIDIA GEFORCE GTX 1050 TI 4GB, 240GB SSD, WIFI+BT & WIN10 HOME) BLACK",b074f246mm,65,0.503748,0.3299873,0.212787,-0.993881,0.990659,0,0,0,0,0,0.4950442
"DELL INSPIRON I7559-5012GRY 15.6"" UHD (3840X2160) 4K TOUCHSCREEN LAPTOP (INTEL QUAD CORE I7-6700HQ, 8 GB RAM, 1 TB HDD) NVIDIA GEFORCE GTX 960M, MICROSOFT SIGNATURE EDITION",b015pz0ehs,66,0.2624055,-0.0593067,-0.2688122,0.1445311,0.3841235,0.2925333,0.0401536,-0.4617652,-0.2529541,-0.0673068,0.2879608
"ASUS ZENBOOK UX501VW 15.6IN (INTEL CORE I7-6700HQ, 16GB RAM, 512GB NVME SSD, NVIDIA GTX 960M, 2GB GPU, IPS UHD TOUCHSCREEN GLOSSY, WINDOWS 10) 64 BIT GAMING LAPTOP (RENEWED)",b01naij0uj,67,0.2067063,-0.1837108,-0.018681,-0.2185693,-0.512583,-0.1086357,-0.904821,0.987011,0,-0.12067,0.3724057
